1.000000000000000000e+00,1.079198944086587434e-04
2.000000000000000000e+00,7.600829099071731755e-06
3.000000000000000000e+00,2.437077904428690392e-06
3.500000000000000000e+00,1.156724055501176044e-06
4.000000000000000000e+00,7.318648133375444087e-07
4.500000000000000000e+00,4.890048999460197400e-07
5.000000000000000000e+00,5.447503365048676409e-07
5.500000000000000000e+00,5.916828832885725222e-07
5.900000000000000355e+00,7.378794885461169582e-07
5.900000000000000355e+00,1.219928027712192802e-06
5.500000000000000000e+00,2.383155933447061902e-06
5.000000000000000000e+00,4.582526046121211682e-06
4.500000000000000000e+00,1.661149254804241240e-05
4.000000000000000000e+00,9.738877454697252240e-05
3.500000000000000000e+00,1.885083197638406688e-04
3.000000000000000000e+00,9.060199863894754027e-04
2.000000000000000000e+00,1.999195760038624536e-02
1.000000000000000000e+00,3.000000000000000000e+00
