1.000000000000000000e+00,3.934411150151326340e-04
2.000000000000000000e+00,4.060271774446935625e-05
2.500000000000000000e+00,2.097268995562583035e-05
3.000000000000000000e+00,9.368518488397279103e-06
3.500000000000000000e+00,7.659560802393857836e-06
3.899999999999999911e+00,7.143874599587364183e-06
3.899999999999999911e+00,1.792282150661039019e-05
3.799999999999999822e+00,2.667234456906351963e-05
3.500000000000000000e+00,7.723223966126344542e-05
3.000000000000000000e+00,2.983883866964710308e-04
2.500000000000000000e+00,9.650503026520038932e-04
2.000000000000000000e+00,3.893638179065526776e-03
1.500000000000000000e+00,1.995460684500243234e-02
1.000000000000000000e+00,5.000000000000000000e+00
